0,1,2,3,4,5,6
-516.43,"1,601.17","1,084.74","1,496.14","2,946.55","4,442.69",25-Sep-2007
-701.43,"1,842.89","1,141.46",727.99,"2,894.57","3,622.56",26-Sep-2007
-311.42,"2,149.21","1,837.79","2,226.85","5,029.52","7,256.37",27-Sep-2007
-100.13,"1,535.90","1,435.77","2,275.71","2,990.02","5,265.73",28-Sep-2007
-929.77,"2,181.76","1,251.99","1,721.74","2,589.92","4,311.66",01-Oct-2007
-221.73,"1,440.81","1,219.08","2,662.06","5,084.72","7,746.78",03-Oct-2007
-663.90,"1,587.24",923.34,457.28,"3,821.18","4,278.46",04-Oct-2007
-201.61,"1,941.27","1,739.66",948.06,"3,609.67","4,557.73",05-Oct-2007
-142.68,976.68,834.00,"1,459.51","2,822.23","4,281.74",08-Oct-2007
-529.38,"1,745.65","1,216.27","1,416.72","2,968.19","4,384.91",09-Oct-2007
-696.82,"2,141.37","1,444.55","1,462.29","4,354.91","5,817.20",10-Oct-2007
-420.11,"1,803.23","1,383.12",794.78,"5,167.21","5,961.99",11-Oct-2007
-883.68,"2,126.04","1,242.36",315.36,"4,944.89","5,260.25",12-Oct-2007
-281.11,"1,969.82","1,688.71","2,868.59","4,270.06","7,138.65",15-Oct-2007
-10.05,"1,703.36","1,693.31",-234.32,"5,899.69","5,665.37",16-Oct-2007
285.06,"1,526.92","1,811.98","-2,012.06","7,880.34","5,868.28",17-Oct-2007
96.02,"1,790.22","1,886.24","-1,130.59","8,196.59","7,066.00",18-Oct-2007
186.26,"1,571.76","1,758.02","-1,750.76","9,943.50","8,192.74",19-Oct-2007
-15.33,"1,375.64","1,360.31","-1,290.86","6,836.57","5,545.71",22-Oct-2007
37.64,"1,349.90","1,387.54",390.71,"5,712.34","6,103.05",23-Oct-2007
383.23,"1,191.14","1,574.37","1,301.87","4,583.94","5,885.81",24-Oct-2007
788.37,"1,584.31","2,372.68",-625.34,"7,547.93","6,922.59",25-Oct-2007
965.96,"1,198.81","2,164.77","-1,237.35","4,466.90","3,229.55",26-Oct-2007
634.44,"1,375.41","2,009.85",688.93,"3,879.69","4,568.62",29-Oct-2007
-177.24,"2,016.31","1,839.07",-389.12,"4,735.85","4,346.73",30-Oct-2007
444.25,"1,457.88","1,902.13",198.74,"5,052.01","5,250.75",31-Oct-2007
56.22,"1,873.18","1,929.40",74.25,"5,315.61","5,389.86",01-Nov-2007
444.74,880.05,"1,324.79","-1,230.86","4,511.99","3,281.13",02-Nov-2007
648.69,"1,030.74","1,679.43","-1,093.16","4,944.19","3,851.03",05-Nov-2007
206.56,"1,091.25","1,297.81",7.62,"4,155.46","4,163.08",06-Nov-2007
95.32,"1,007.75","1,103.07",431.41,"3,766.42","4,197.83",07-Nov-2007
283.32,940.28,"1,223.60","-1,356.53","4,546.68","3,190.15",08-Nov-2007
-0.53,22.13,21.60,34.99,94.48,129.47,09-Nov-2007
65.99,"1,143.87","1,209.86","-1,194.38","5,681.56","4,487.18",12-Nov-2007
264.15,"1,514.94","1,779.09",-332.84,"5,103.04","4,770.20",13-Nov-2007
567.04,"1,141.12","1,708.16",163.02,"4,606.89","4,769.91",14-Nov-2007
585.82,"1,303.54","1,889.36",-152.83,"4,067.30","3,914.47",15-Nov-2007
239.72,955.86,"1,195.58",-363.14,"3,866.83","3,503.69",16-Nov-2007
-63.45,"1,415.69","1,352.24",-371.04,"4,189.36","3,818.32",19-Nov-2007
463.95,"1,217.13","1,681.08","-1,800.68","6,215.47","4,414.79",20-Nov-2007
630.06,970.45,"1,600.51","-2,007.70","5,215.79","3,208.09",21-Nov-2007
"1,341.15",900.34,"2,241.49","-2,487.71","4,376.72","1,889.01",22-Nov-2007
525.86,748.33,"1,274.19",-541.88,"2,813.43","2,271.55",23-Nov-2007
274.06,706.52,980.58,50.40,"2,969.10","3,019.50",26-Nov-2007
298.33,963.96,"1,262.29",-498.35,"3,906.62","3,408.27",27-Nov-2007
331.82,927.61,"1,259.43",-978.96,"4,171.87","3,192.91",28-Nov-2007
606.25,"1,368.45","1,974.70","-1,112.96","6,268.07","5,155.11",29-Nov-2007
